Removing parentheses from filenames:
renamed './Blue_Paint_Bucket_(Recipe_#1).png' -> './Blue_Paint_Bucket_Recipe_#1.png'
renamed './Poplar_Sapling_(Recipe_#1).png' -> './Poplar_Sapling_Recipe_#1.png'
renamed './Pink_Paint_Bucket_(Recipe_#1).png' -> './Pink_Paint_Bucket_Recipe_#1.png'
renamed './Photodiode_(Recipe_#1).png' -> './Photodiode_Recipe_#1.png'
renamed './Diamond_Helmet_(Recipe_#1).png' -> './Diamond_Helmet_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#8).png' -> './Black_Paint_Bucket_Recipe_#8.png'
renamed './Iron_Axe_(Recipe_#1).png' -> './Iron_Axe_Recipe_#1.png'
renamed './Diamond_Boots_(Recipe_#1).png' -> './Diamond_Boots_Recipe_#1.png'
renamed './Copper_Ingot_(Recipe_#2).png' -> './Copper_Ingot_Recipe_#2.png'
renamed './Long_Johns_(Recipe_#1).png' -> './Long_Johns_Recipe_#1.png'
renamed './Diamond_Tip_Pickaxe_(Recipe_#1).png' -> './Diamond_Tip_Pickaxe_Recipe_#1.png'
renamed './Red_Paint_Bucket_(Recipe_#2).png' -> './Red_Paint_Bucket_Recipe_#2.png'
renamed './Granite_(Recipe_#1).png' -> './Granite_Recipe_#1.png'
renamed './Shirt_(Recipe_#1).png' -> './Shirt_Recipe_#1.png'
renamed './Iron_Boots_(Recipe_#1).png' -> './Iron_Boots_Recipe_#1.png'
renamed './Pants_(Recipe_#1).png' -> './Pants_Recipe_#1.png'
renamed './CookedCassowary_Egg_(Recipe_#2).png' -> './CookedCassowary_Egg_Recipe_#2.png'
renamed './Light_Gray_Paint_Bucket_(Recipe_#3).png' -> './Light_Gray_Paint_Bucket_Recipe_#3.png'
renamed './Purple_Paint_Bucket_(Recipe_#1).png' -> './Purple_Paint_Bucket_Recipe_#1.png'
renamed './Switch_(Recipe_#1).png' -> './Switch_Recipe_#1.png'
renamed './White_Paint_Bucket_(Recipe_#1).png' -> './White_Paint_Bucket_Recipe_#1.png'
renamed './Stone_Axe_(Recipe_#6).png' -> './Stone_Axe_Recipe_#6.png'
renamed './Stone_Club_(Recipe_#2).png' -> './Stone_Club_Recipe_#2.png'
renamed './CookedCassowary_Egg_(Recipe_#1).png' -> './CookedCassowary_Egg_Recipe_#1.png'
renamed './Pale_Blue_Paint_Bucket_(Recipe_#2).png' -> './Pale_Blue_Paint_Bucket_Recipe_#2.png'
renamed './Leather_Jerkin_(Recipe_#1).png' -> './Leather_Jerkin_Recipe_#1.png'
renamed './Copper_Pickaxe_(Recipe_#1).png' -> './Copper_Pickaxe_Recipe_#1.png'
renamed './Medium_Incendiary_Keg_(Recipe_#1).png' -> './Medium_Incendiary_Keg_Recipe_#1.png'
renamed './Salmon_Paint_Bucket_(Recipe_#2).png' -> './Salmon_Paint_Bucket_Recipe_#2.png'
renamed './Birch_Sapling_(Recipe_#1).png' -> './Birch_Sapling_Recipe_#1.png'
renamed './White_Pigment_(Recipe_#1).png' -> './White_Pigment_Recipe_#1.png'
renamed './Germanium_Crystal_(Recipe_#1).png' -> './Germanium_Crystal_Recipe_#1.png'
renamed './Mimosa_Sapling_(Recipe_#1).png' -> './Mimosa_Sapling_Recipe_#1.png'
renamed './Pulling_Piston_(Recipe_#1).png' -> './Pulling_Piston_Recipe_#1.png'
renamed './CookedOstrich_Egg_(Recipe_#2).png' -> './CookedOstrich_Egg_Recipe_#2.png'
renamed './Brick_Slab_(Recipe_#1).png' -> './Brick_Slab_Recipe_#1.png'
renamed './Diamond_Spikes_Rake_(Recipe_#1).png' -> './Diamond_Spikes_Rake_Recipe_#1.png'
renamed './CookedOstrich_Egg_(Recipe_#1).png' -> './CookedOstrich_Egg_Recipe_#1.png'
renamed './Diamond_(Recipe_#1).png' -> './Diamond_Recipe_#1.png'
renamed './Diamond_Edge_Shovel_(Recipe_#1).png' -> './Diamond_Edge_Shovel_Recipe_#1.png'
renamed './Multicolored_LED_(Recipe_#1).png' -> './Multicolored_LED_Recipe_#1.png'
renamed './Diamond_Edge_Axe_(Recipe_#1).png' -> './Diamond_Edge_Axe_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#4).png' -> './Black_Paint_Bucket_Recipe_#4.png'
renamed './Bread_(Recipe_#1).png' -> './Bread_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#5).png' -> './Black_Paint_Bucket_Recipe_#5.png'
renamed './Strict_Pulling_Piston_(Recipe_#1).png' -> './Strict_Pulling_Piston_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#7).png' -> './Black_Paint_Bucket_Recipe_#7.png'
renamed './Fur_Leggings_(Recipe_#1).png' -> './Fur_Leggings_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#6).png' -> './Black_Paint_Bucket_Recipe_#6.png'
renamed './Brick_(Recipe_#4).png' -> './Brick_Recipe_#4.png'
renamed './Black_Paint_Bucket_(Recipe_#1).png' -> './Black_Paint_Bucket_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#3).png' -> './Black_Paint_Bucket_Recipe_#3.png'
renamed './Gray_Paint_Bucket_(Recipe_#1).png' -> './Gray_Paint_Bucket_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#11).png' -> './Black_Paint_Bucket_Recipe_#11.png'
renamed './CookedDuck_Egg_(Recipe_#2).png' -> './CookedDuck_Egg_Recipe_#2.png'
renamed './Black_Paint_Bucket_(Recipe_#9).png' -> './Black_Paint_Bucket_Recipe_#9.png'
renamed './Blue_Paint_Bucket_(Recipe_#3).png' -> './Blue_Paint_Bucket_Recipe_#3.png'
renamed './Brown_Paint_Bucket_(Recipe_#2).png' -> './Brown_Paint_Bucket_Recipe_#2.png'
renamed './Sweater_(Recipe_#1).png' -> './Sweater_Recipe_#1.png'
renamed './Brick_(Recipe_#1).png' -> './Brick_Recipe_#1.png'
renamed './White_Carpet_(Recipe_#1).png' -> './White_Carpet_Recipe_#1.png'
renamed './Cyan_Paint_Bucket_(Recipe_#2).png' -> './Cyan_Paint_Bucket_Recipe_#2.png'
renamed './Copper_Spear_(Recipe_#1).png' -> './Copper_Spear_Recipe_#1.png'
renamed './Leather_Pants_(Recipe_#1).png' -> './Leather_Pants_Recipe_#1.png'
renamed './Red_Paint_Bucket_(Recipe_#3).png' -> './Red_Paint_Bucket_Recipe_#3.png'
renamed './Green_Paint_Bucket_(Recipe_#3).png' -> './Green_Paint_Bucket_Recipe_#3.png'
renamed './CookedDuck_Egg_(Recipe_#1).png' -> './CookedDuck_Egg_Recipe_#1.png'
renamed './Purple_Paint_Bucket_(Recipe_#2).png' -> './Purple_Paint_Bucket_Recipe_#2.png'
renamed './Brick_(Recipe_#2).png' -> './Brick_Recipe_#2.png'
renamed './1-LED_(Recipe_#1).png' -> './1-LED_Recipe_#1.png'
renamed './Iron_Hammer_(Recipe_#1).png' -> './Iron_Hammer_Recipe_#1.png'
renamed './Copper_Helmet_(Recipe_#1).png' -> './Copper_Helmet_Recipe_#1.png'
renamed './Copper_Axe_(Recipe_#1).png' -> './Copper_Axe_Recipe_#1.png'
renamed './Paint_Stripper_Bucket_(Recipe_#1).png' -> './Paint_Stripper_Bucket_Recipe_#1.png'
renamed './Stone_Spear_(Recipe_#2).png' -> './Stone_Spear_Recipe_#2.png'
renamed './Bucket_(Recipe_#1).png' -> './Bucket_Recipe_#1.png'
renamed './Stone_Axe_(Recipe_#3).png' -> './Stone_Axe_Recipe_#3.png'
renamed './Copper_Boots_(Recipe_#1).png' -> './Copper_Boots_Recipe_#1.png'
renamed './Cell_Trapdoor_(Recipe_#1).png' -> './Cell_Trapdoor_Recipe_#1.png'
renamed './White_LED_(Recipe_#1).png' -> './White_LED_Recipe_#1.png'
renamed './Purple_LED_(Recipe_#1).png' -> './Purple_LED_Recipe_#1.png'
renamed './Red_Paint_Bucket_(Recipe_#1).png' -> './Red_Paint_Bucket_Recipe_#1.png'
renamed './Cyan_LED_(Recipe_#1).png' -> './Cyan_LED_Recipe_#1.png'
renamed './Red_LED_(Recipe_#1).png' -> './Red_LED_Recipe_#1.png'
renamed './Green_LED_(Recipe_#1).png' -> './Green_LED_Recipe_#1.png'
renamed './Yellow_LED_(Recipe_#1).png' -> './Yellow_LED_Recipe_#1.png'
renamed './Orange_LED_(Recipe_#1).png' -> './Orange_LED_Recipe_#1.png'
renamed './Blue_LED_(Recipe_#1).png' -> './Blue_LED_Recipe_#1.png'
renamed './Brown_Paint_Bucket_(Recipe_#1).png' -> './Brown_Paint_Bucket_Recipe_#1.png'
renamed './Green_Paint_Bucket_(Recipe_#1).png' -> './Green_Paint_Bucket_Recipe_#1.png'
renamed './Crossbow_(Recipe_#1).png' -> './Crossbow_Recipe_#1.png'
renamed './Stone_Axe_(Recipe_#2).png' -> './Stone_Axe_Recipe_#2.png'
renamed './Yellow_Paint_Bucket_(Recipe_#1).png' -> './Yellow_Paint_Bucket_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#10).png' -> './Black_Paint_Bucket_Recipe_#10.png'
renamed './Light_Gray_Paint_Bucket_(Recipe_#2).png' -> './Light_Gray_Paint_Bucket_Recipe_#2.png'
renamed './Pale_Green_Paint_Bucket_(Recipe_#1).png' -> './Pale_Green_Paint_Bucket_Recipe_#1.png'
renamed './Large_Incendiary_Keg_(Recipe_#1).png' -> './Large_Incendiary_Keg_Recipe_#1.png'
renamed './Blue_Paint_Bucket_(Recipe_#2).png' -> './Blue_Paint_Bucket_Recipe_#2.png'
renamed './Salmon_Paint_Bucket_(Recipe_#1).png' -> './Salmon_Paint_Bucket_Recipe_#1.png'
renamed './Black_Paint_Bucket_(Recipe_#2).png' -> './Black_Paint_Bucket_Recipe_#2.png'
renamed './Iron_Door_(Recipe_#1).png' -> './Iron_Door_Recipe_#1.png'
renamed './Cyan_Paint_Bucket_(Recipe_#1).png' -> './Cyan_Paint_Bucket_Recipe_#1.png'
renamed './Green_Paint_Bucket_(Recipe_#2).png' -> './Green_Paint_Bucket_Recipe_#2.png'
renamed './Jack_O'\''Lantern_(Recipe_#1).png' -> './Jack_O'\''Lantern_Recipe_#1.png'
renamed './Purple_7-Segment_Display_(Recipe_#1).png' -> './Purple_7-Segment_Display_Recipe_#1.png'
renamed './White_7-Segment_Display_(Recipe_#1).png' -> './White_7-Segment_Display_Recipe_#1.png'
renamed './Pale_Blue_Paint_Bucket_(Recipe_#1).png' -> './Pale_Blue_Paint_Bucket_Recipe_#1.png'
renamed './Fur_Coat_(Recipe_#1).png' -> './Fur_Coat_Recipe_#1.png'
renamed './Pale_Cyan_Paint_Bucket_(Recipe_#1).png' -> './Pale_Cyan_Paint_Bucket_Recipe_#1.png'
renamed './Cyan_7-Segment_Display_(Recipe_#1).png' -> './Cyan_7-Segment_Display_Recipe_#1.png'
renamed './Diamond_Leggings_(Recipe_#1).png' -> './Diamond_Leggings_Recipe_#1.png'
renamed './Red_7-Segment_Display_(Recipe_#1).png' -> './Red_7-Segment_Display_Recipe_#1.png'
renamed './Purple_4-LED_(Recipe_#1).png' -> './Purple_4-LED_Recipe_#1.png'
renamed './Green_7-Segment_Display_(Recipe_#1).png' -> './Green_7-Segment_Display_Recipe_#1.png'
renamed './Yellow_7-Segment_Display_(Recipe_#1).png' -> './Yellow_7-Segment_Display_Recipe_#1.png'
renamed './White_4-LED_(Recipe_#1).png' -> './White_4-LED_Recipe_#1.png'
renamed './Light_Gray_Paint_Bucket_(Recipe_#1).png' -> './Light_Gray_Paint_Bucket_Recipe_#1.png'
renamed './Orange_7-Segment_Display_(Recipe_#1).png' -> './Orange_7-Segment_Display_Recipe_#1.png'
renamed './Blue_7-Segment_Display_(Recipe_#1).png' -> './Blue_7-Segment_Display_Recipe_#1.png'
renamed './Iron_Leggings_(Recipe_#1).png' -> './Iron_Leggings_Recipe_#1.png'
renamed './Pale_Green_Paint_Bucket_(Recipe_#2).png' -> './Pale_Green_Paint_Bucket_Recipe_#2.png'
renamed './Saddle_(Recipe_#1).png' -> './Saddle_Recipe_#1.png'
renamed './Cyan_4-LED_(Recipe_#1).png' -> './Cyan_4-LED_Recipe_#1.png'
renamed './Red_4-LED_(Recipe_#1).png' -> './Red_4-LED_Recipe_#1.png'
renamed './Green_4-LED_(Recipe_#1).png' -> './Green_4-LED_Recipe_#1.png'
renamed './Yellow_4-LED_(Recipe_#1).png' -> './Yellow_4-LED_Recipe_#1.png'
renamed './Orange_4-LED_(Recipe_#1).png' -> './Orange_4-LED_Recipe_#1.png'
renamed './Blue_4-LED_(Recipe_#1).png' -> './Blue_4-LED_Recipe_#1.png'
renamed './Bomb_(Recipe_#1).png' -> './Bomb_Recipe_#1.png'
renamed './Stone_Slab_(Recipe_#1).png' -> './Stone_Slab_Recipe_#1.png'
renamed './Stone_Club_(Recipe_#1).png' -> './Stone_Club_Recipe_#1.png'
renamed './Stone_Axe_(Recipe_#4).png' -> './Stone_Axe_Recipe_#4.png'
renamed './Stone_Brick_Slab_(Recipe_#1).png' -> './Stone_Brick_Slab_Recipe_#1.png'
renamed './Magnet_(Recipe_#1).png' -> './Magnet_Recipe_#1.png'
renamed './Iron_Chest_Plate_(Recipe_#1).png' -> './Iron_Chest_Plate_Recipe_#1.png'
renamed './Chain_Mail_(Recipe_#1).png' -> './Chain_Mail_Recipe_#1.png'
renamed './Basalt_Slab_(Recipe_#1).png' -> './Basalt_Slab_Recipe_#1.png'
renamed './Gunpowder_(Recipe_#1).png' -> './Gunpowder_Recipe_#1.png'
renamed './Brick_Wall_(Recipe_#1).png' -> './Brick_Wall_Recipe_#1.png'
renamed './Pumpkin_Soup_(Recipe_#4).png' -> './Pumpkin_Soup_Recipe_#4.png'
renamed './Malachite_Chunk_(Recipe_#1).png' -> './Malachite_Chunk_Recipe_#1.png'
renamed './Pumpkin_Soup_(Recipe_#3).png' -> './Pumpkin_Soup_Recipe_#3.png'
renamed './Pumpkin_Soup_(Recipe_#2).png' -> './Pumpkin_Soup_Recipe_#2.png'
renamed './Diamond_Chest_Plate_(Recipe_#1).png' -> './Diamond_Chest_Plate_Recipe_#1.png'
renamed './Cobblestone_Slab_(Recipe_#1).png' -> './Cobblestone_Slab_Recipe_#1.png'
renamed './Pumpkin_Soup_(Recipe_#1).png' -> './Pumpkin_Soup_Recipe_#1.png'
renamed './Spiked_Plank_(Recipe_#1).png' -> './Spiked_Plank_Recipe_#1.png'
renamed './Coal_Chunk_(Recipe_#1).png' -> './Coal_Chunk_Recipe_#1.png'
renamed './Leather_Sandals_(Recipe_#1).png' -> './Leather_Sandals_Recipe_#1.png'
renamed './Lightbulb_(Recipe_#1).png' -> './Lightbulb_Recipe_#1.png'
renamed './Memory_Bank_(Recipe_#1).png' -> './Memory_Bank_Recipe_#1.png'
renamed './Planks_(Recipe_#2).png' -> './Planks_Recipe_#2.png'
renamed './Leather_Boots_(Recipe_#1).png' -> './Leather_Boots_Recipe_#1.png'
renamed './Battery_(Recipe_#1).png' -> './Battery_Recipe_#1.png'
renamed './Compass_(Recipe_#1).png' -> './Compass_Recipe_#1.png'
renamed './Fireworks_Purple_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Purple_Short_Trails_Low_Recipe_#1.png'
renamed './Fireworks_White_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_White_Short_Trails_Low_Recipe_#1.png'
renamed './Stone_Pressure_Plate_(Recipe_#1).png' -> './Stone_Pressure_Plate_Recipe_#1.png'
renamed './Adjustable_Delay_Gate_(Recipe_#1).png' -> './Adjustable_Delay_Gate_Recipe_#1.png'
renamed './Wooden_Rake_(Recipe_#1).png' -> './Wooden_Rake_Recipe_#1.png'
renamed './Motion_Detector_(Recipe_#1).png' -> './Motion_Detector_Recipe_#1.png'
renamed './Fireworks_Red_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Red_Short_Trails_Low_Recipe_#1.png'
renamed './Fireworks_Cyan_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Cyan_Short_Trails_Low_Recipe_#1.png'
renamed './Fireworks_Green_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Green_Short_Trails_Low_Recipe_#1.png'
renamed './Fireworks_Yellow_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Yellow_Short_Trails_Low_Recipe_#1.png'
renamed './Stone_Axe_(Recipe_#1).png' -> './Stone_Axe_Recipe_#1.png'
renamed './Brick_Stairs_(Recipe_#1).png' -> './Brick_Stairs_Recipe_#1.png'
renamed './Fireworks_Orange_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Orange_Short_Trails_Low_Recipe_#1.png'
renamed './Stone_Spear_(Recipe_#1).png' -> './Stone_Spear_Recipe_#1.png'
renamed './Fireworks_Blue_Short_Trails_(Low)_(Recipe_#1).png' -> './Fireworks_Blue_Short_Trails_Low_Recipe_#1.png'
renamed './Button_(Recipe_#1).png' -> './Button_Recipe_#1.png'
renamed './Logic_NOT_Gate_(Recipe_#1).png' -> './Logic_NOT_Gate_Recipe_#1.png'
renamed './Stick_(Recipe_#1).png' -> './Stick_Recipe_#1.png'
renamed './Planks_(Recipe_#1).png' -> './Planks_Recipe_#1.png'
renamed './Solid_Iron_Block_(Recipe_#1).png' -> './Solid_Iron_Block_Recipe_#1.png'
renamed './Logic_XOR_Gate_(Recipe_#1).png' -> './Logic_XOR_Gate_Recipe_#1.png'
renamed './Copper_Leggings_(Recipe_#1).png' -> './Copper_Leggings_Recipe_#1.png'
renamed './Grass_Trap_(Recipe_#1).png' -> './Grass_Trap_Recipe_#1.png'
renamed './Delay_Gate_(Recipe_#1).png' -> './Delay_Gate_Recipe_#1.png'
renamed './Logic_NOR_Gate_(Recipe_#1).png' -> './Logic_NOR_Gate_Recipe_#1.png'
renamed './Hygrometer_(Recipe_#1).png' -> './Hygrometer_Recipe_#1.png'
renamed './Real_Time_Clock_(Recipe_#1).png' -> './Real_Time_Clock_Recipe_#1.png'
renamed './Electric_Detonator_(Recipe_#1).png' -> './Electric_Detonator_Recipe_#1.png'
renamed './Fireworks_White_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_White_Small_Burst_Low_Recipe_#1.png'
renamed './Fireworks_Purple_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_Purple_Small_Burst_Low_Recipe_#1.png'
renamed './Copper_Chest_Plate_(Recipe_#1).png' -> './Copper_Chest_Plate_Recipe_#1.png'
renamed './4-Bit_Counter_(Recipe_#1).png' -> './4-Bit_Counter_Recipe_#1.png'
renamed './Fireworks_Cyan_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_Cyan_Small_Burst_Low_Recipe_#1.png'
renamed './Fireworks_Red_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_Red_Small_Burst_Low_Recipe_#1.png'
renamed './Fireworks_Yellow_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_Yellow_Small_Burst_Low_Recipe_#1.png'
renamed './Fireworks_Green_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_Green_Small_Burst_Low_Recipe_#1.png'
renamed './Logic_AND_Gate_(Recipe_#1).png' -> './Logic_AND_Gate_Recipe_#1.png'
renamed './Fireworks_Orange_Small_Burst_(Low)_(Recipe_#1).png' -> './Fireworks_Orange_Small_Burst_Low_Recipe_#1.png'
